Time (s),Temperature (°C),Error,PI Output,P Component,I Component,D Component
417.5906620025635,29.9375,4.0625,63.82295734678594,18.809375,45.5280233896732,-0.5144410428872558
420.4065716266632,29.9375,4.0625,64.51377328095792,18.809375,45.704398280957925,0.0
423.22217321395874,30.0,4.0,63.8841694180985,18.52,45.87804250910009,-0.5138730910015888
426.0385913848877,30.0,4.0,64.57173392127193,18.52,46.05173392127193,0.0
428.85463857650757,30.0,4.0,64.74540413077291,18.52,46.22540413077291,0.0
431.67066287994385,30.0625,3.9375,64.11318425286635,18.230625,46.39635942612457,-0.5138001732582231
434.48673009872437,30.1875,3.8125,63.18617909220764,17.651875,46.56188990965122,-1.0275858174435815
437.302654504776,30.125,3.875,65.1851941198541,17.94125,46.730125632092296,0.5138184877618047
440.11859488487244,30.125,3.875,64.83961189581167,17.94125,46.898361895811675,0.0
442.9341313838959,30.1875,3.8125,64.20185217915144,17.651875,47.063862584678425,-0.5138854055269769
445.7501702308655,30.25,3.75,64.07538058739429,17.3625,47.22667802011464,-0.5137974327203486
448.5665748119354,30.25,3.75,64.75201301600723,17.3625,47.38951301600723,0.0
451.3821361064911,30.25,3.75,64.91480195729466,17.3625,47.55230195729465,0.0
454.1981704235077,30.4375,3.5625,62.65995659445956,16.494374999999998,47.70697637214565,-1.5413947776860766
457.01459670066833,30.375,3.625,65.16186559807467,16.78375,47.8643851471895,0.5137304508851571
459.83058977127075,30.375,3.625,64.80552019007432,16.78375,48.021770190074314,0.0
462.64613008499146,30.4375,3.5625,64.15690898821767,16.494374999999998,48.176418610471046,-0.513884622253369
465.46216773986816,30.5625,3.4375,63.21369562969314,15.915625,48.32566601713853,-1.0275953874453925
468.2786502838135,30.5,3.5,65.19637052545352,16.205,48.477649772438504,0.5137207530150009
471.0945944786072,30.5,3.5,64.83460535185911,16.205,48.62960535185911,0.0
473.9106442928314,30.5625,3.4375,64.18068242252482,15.915625,48.77885328923665,-0.5137958667118321
476.7261288166046,30.5625,3.4375,64.84369737873183,15.915625,48.928072378731834,0.0
479.5421795845032,30.625,3.375,64.18706146550512,15.626249999999999,49.074606853716254,-0.5137953882111339
482.35858821868896,30.625,3.375,64.84740846167546,15.626249999999999,49.221158461675465,0.0
485.1746413707733,30.6875,3.3125,64.18806084005648,15.336875,49.364979749271086,-0.5137939092146107
487.9901294708252,30.6875,3.3125,64.84564761699856,15.336875,49.50877261699856,0.0
490.8061647415161,30.75,3.25,64.18358100783523,15.0475,49.64987913656243,-0.513798128727198
493.62258076667786,30.75,3.25,64.83850336116518,15.0475,49.791003361165174,0.0
